International Financial Statistics (IFS),,,,
,France,France,France,France
,"Economic Activity, Industrial Production, Index","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","International Reserves and Liquidity, Reserves, Official Reserve Assets, US Dollar","Prices, Consumer Price Index, All items, Index"
Jan-60,33.97,4.94,"1,753.74",10.34
Feb-60,34.77,4.94,"1,796.74",10.37
Mar-60,34.89,4.94,"1,869.76",10.37
Apr-60,35.68,4.94,"1,947.79",10.38
May-60,35.71,4.94,"2,096.79",10.36
Jun-60,35.71,4.94,"2,057.79",10.35
Jul-60,32.99,4.94,"2,058.79",10.39
Aug-60,24.13,4.94,"2,168.79",10.49
Sep-60,34.54,4.94,"2,180.79",10.5
Oct-60,36.57,4.94,"2,206.82",10.52
Nov-60,37.81,4.94,"2,269.90",10.55
Dec-60,37.68,4.94,"2,271.91",10.57
Jan-61,36.41,4.94,"2,349.91",10.58
Feb-61,37.11,4.94,"2,441.91",10.59
Mar-61,37.55,4.94,"2,609.93",10.58
Apr-61,37.52,4.94,"2,698.93",10.57
May-61,37.75,4.94,"2,835.94",10.55
Jun-61,37.93,4.94,"3,006.94",10.53
Jul-61,33.62,4.94,"3,206.94",10.61
Aug-61,26.33,4.94,"3,246.95",10.67
Sep-61,36,4.94,"3,260.45",10.73
Oct-61,38.09,4.94,"3,285.45",10.85
Nov-61,39.17,4.94,"3,312.45",10.96
Dec-61,40.28,4.94,"3,365.46",11
Jan-62,39.01,4.94,"3,425.46",11.07
Feb-62,39.75,4.94,"3,470.50",11.08
Mar-62,40.12,4.94,"3,619.48",11.15
Apr-62,40.12,4.94,"3,536.48",11.17
May-62,40.66,4.94,"3,890.48",11.2
Jun-62,40.18,4.94,"3,972.49",11.25
Jul-62,35.84,4.94,"3,770.49",11.29
Aug-62,27.41,4.94,"3,852.49",11.28
Sep-62,38.76,4.94,"3,968.52",11.33
Oct-62,40.92,4.94,"4,054.53",11.35
Nov-62,42.18,4.94,"4,157.53",11.42
Dec-62,41.73,4.94,"4,048.54",11.46
Jan-63,40.35,4.94,"4,182.55",11.55
Feb-63,40.82,4.94,"4,327.55",11.62
Mar-63,36.38,4.94,"4,436.55",11.65
Apr-63,41.63,4.94,"4,493.56",11.68
May-63,43.33,4.94,"4,643.57",11.72
Jun-63,43.62,4.94,"4,692.57",11.8
Jul-63,38.54,4.94,"4,654.47",11.85
Aug-63,25.76,4.94,"4,735.49",11.89
Sep-63,43.03,4.94,"4,767.49",11.97
Oct-63,44.61,4.94,"4,788.51",11.99
Nov-63,44.91,4.94,"4,867.51",12.03
