International Financial Statistics (IFS),,
,United States,United States
,"International Reserves and Liquidity, Reserves, Official Reserve Assets, US Dollar","Prices, Consumer Price Index, All items, Index"
Jan-60,"21,478.10",13.44
Feb-60,"21,395.70",13.48
Mar-60,"21,344.70",13.48
Apr-60,"21,278.00",13.53
May-60,"21,234.30",13.53
Jun-60,"21,169.80",13.57
Jul-60,"20,999.40",13.57
Aug-60,"20,803.40",13.57
Sep-60,"20,430.00",13.57
Oct-60,"20,068.20",13.67
Nov-60,"19,558.20",13.67
Dec-60,"19,358.80",13.67
Jan-61,"19,056.20",13.67
Feb-61,"18,978.00",13.67
Mar-61,"18,988.20",13.67
Apr-61,"19,165.10",13.67
May-61,"19,196.90",13.67
Jun-61,"19,307.90",13.67
Jul-61,"19,234.60",13.76
Aug-61,"19,641.50",13.71
Sep-61,"19,520.90",13.76
Oct-61,"19,171.90",13.76
Nov-61,"18,827.90",13.76
Dec-61,"18,752.90",13.76
Jan-62,"18,649.80",13.76
Feb-62,"18,512.00",13.8
Mar-62,"18,328.70",13.8
Apr-62,"18,192.40",13.85
May-62,"18,124.50",13.85
Jun-62,"18,490.30",13.85
Jul-62,"17,784.50",13.9
Aug-62,"17,638.60",13.9
Sep-62,"17,610.30",13.94
Oct-62,"17,435.70",13.94
Nov-62,"17,286.20",13.94
Dec-62,"17,220.40",13.94
Jan-63,"17,177.90",13.94
Feb-63,"17,114.30",13.94
Mar-63,"17,188.50",13.99
Apr-63,"17,139.90",13.99
May-63,"17,113.60",13.99
Jun-63,"17,064.70",14.03
Jul-63,"16,815.10",14.08
Aug-63,"16,773.90",14.08
Sep-63,"16,838.00",14.08
Oct-63,"16,947.80",14.12
Nov-63,"16,817.10",14.12
Dec-63,"16,843.00",14.17
Jan-64,"16,880.90",14.17
Feb-64,"16,770.50",14.17
Mar-64,"16,894.00",14.17
Apr-64,"16,898.90",14.17
May-64,"16,855.50",14.17
Jun-64,"16,591.20",14.22
Jul-64,"16,628.60",14.26
Aug-64,"16,690.40",14.22
Sep-64,"16,521.00",14.26
Oct-64,"16,385.50",14.26
Nov-64,"17,015.20",14.31
Dec-64,"16,672.40",14.31
Jan-65,"16,342.90",14.31
Feb-65,"15,994.90",14.31
Mar-65,"15,828.90",14.35
Apr-65,"15,592.30",14.4
May-65,"15,420.00",14.4
Jun-65,"15,761.80",14.49
Jul-65,"15,565.60",14.49
Aug-65,"15,850.40",14.49
Sep-65,"15,721.20",14.49
Oct-65,"15,639.40",14.54
Nov-65,"15,547.90",14.54
Dec-65,"15,450.00",14.58
Jan-66,"15,224.50",14.58
Feb-66,"14,961.80",14.68
Mar-66,"15,025.90",14.72
Apr-66,"14,913.90",14.81
May-66,"14,904.50",14.81
Jun-66,"14,957.80",14.86
Jul-66,"15,148.20",14.9
Aug-66,"15,014.60",15
Sep-66,"14,876.00",15
Oct-66,"14,879.60",15.09
Nov-66,"14,715.10",15.09
Dec-66,"14,881.70",15.09
Jan-67,"14,195.80",15.09
Feb-67,"13,997.50",15.09
Mar-67,"13,854.60",15.13
Apr-67,"13,905.70",15.18
May-67,"13,942.50",15.23
Jun-67,"14,274.30",15.27
Jul-67,"14,223.60",15.32
Aug-67,"14,604.80",15.36
Sep-67,"14,648.60",15.41
Oct-67,"14,926.70",15.45
Nov-67,"15,437.60",15.5
Dec-67,"14,830.20",15.55
Jan-68,"14,620.00",15.64
Feb-68,"14,789.80",15.68
Mar-68,"13,926.50",15.73
Apr-68,"13,839.70",15.78
May-68,"14,348.30",15.82
Jun-68,"14,062.60",15.91
Jul-68,"14,365.80",16.01
Aug-68,"14,427.00",16.05
Sep-68,"14,633.90",16.1
Oct-68,"14,427.50",16.19
Nov-68,"15,659.70",16.23
Dec-68,"15,709.90",16.28
Jan-69,"15,454.00",16.33
Feb-69,"15,499.40",16.42
Mar-69,"15,758.40",16.56
Apr-69,"15,947.60",16.65
May-69,"16,069.90",16.69
Jun-69,"16,057.10",16.78
Jul-69,"15,935.80",16.88
Aug-69,"16,195.10",16.97
Sep-69,"16,743.20",17.01
Oct-69,"16,315.80",17.11
Nov-69,"16,000.30",17.2
Dec-69,"16,963.60",17.29
Jan-70,"17,396.53",17.34
Feb-70,"17,669.63",17.43
Mar-70,"17,350.63",17.52
Apr-70,"16,918.71",17.66
May-70,"16,164.89",17.7
Jun-70,"16,328.29",17.79
Jul-70,"16,065.39",17.89
Aug-70,"15,795.79",17.89
Sep-70,"15,527.69",17.98
Oct-70,"15,119.89",18.07
Nov-70,"14,890.29",18.16
Dec-70,"14,486.89",18.25
Jan-71,"14,698.99",18.25
Feb-71,"14,533.79",18.3
Mar-71,"14,341.59",18.34
Apr-71,"14,307.13",18.39
May-71,"13,810.51",18.48
Jun-71,"13,503.91",18.62
Jul-71,"13,282.51",18.66
Aug-71,"12,127.81",18.71
Sep-71,"12,130.21",18.71
Oct-71,"12,145.90",18.76
Nov-71,"12,130.30",18.76
Dec-71,"12,314.57",18.85
Jan-72,"13,084.03",18.85
Feb-72,"12,534.82",18.94
Mar-72,"12,475.16",18.99
Apr-72,"12,472.71",19.03
May-72,"13,344.52",19.08
Jun-72,"13,338.60",19.12
Jul-72,"13,089.59",19.22
Aug-72,"13,123.15",19.26
Sep-72,"13,216.80",19.31
Oct-72,"13,312.47",19.4
Nov-72,"13,306.35",19.44
Dec-72,"13,150.32",19.49
Jan-73,"13,053.34",19.54
Feb-73,"13,195.62",19.67
Mar-73,"13,201.41",19.86
Apr-73,"13,172.79",19.99
May-73,"13,184.89",20.13
Jun-73,"13,183.16",20.27
